codigo,municipio,pib_mil_reais
1505908,Porto de Moz - PA,404115
1506005,Prainha - PA,437647
1506104,Primavera - PA,321570
1506112,Quatipuru - PA,120746
1506138,Redenção - PA,2551566
1506161,Rio Maria - PA,601635
1506187,Rondon do Pará - PA,733550
1506195,Rurópolis - PA,496483
1506203,Salinópolis - PA,641473
1506302,Salvaterra - PA,210115
1506351,Santa Bárbara do Pará - PA,240288
1506401,Santa Cruz do Arari - PA,95936
1506500,Santa Izabel do Pará - PA,934543
1506559,Santa Luzia do Pará - PA,195899
1506583,Santa Maria das Barreiras - PA,1071990
1506609,Santa Maria do Pará - PA,371437
1506708,Santana do Araguaia - PA,1381466
1506807,Santarém - PA,6387634
1506906,Santarém Novo - PA,59961
1507003,Santo Antônio do Tauá - PA,475226
1507102,São Caetano de Odivelas - PA,182987
1507151,São Domingos do Araguaia - PA,358711
1507201,São Domingos do Capim - PA,438000
1507300,São Félix do Xingu - PA,2008369
1507409,São Francisco do Pará - PA,264186
1507458,São Geraldo do Araguaia - PA,710322
1507466,São João da Ponta - PA,57326
1507474,São João de Pirabas - PA,181939
1507508,São João do Araguaia - PA,186695
1507607,São Miguel do Guamá - PA,792510
1507706,São Sebastião da Boa Vista - PA,244688
1507755,Sapucaia - PA,141045
1507805,Senador José Porfírio - PA,246022
1507904,Soure - PA,241545
1507953,Tailândia - PA,1291017
1507961,Terra Alta - PA,82919
1507979,Terra Santa - PA,519258
1508001,Tomé-Açu - PA,1039721
1508035,Tracuateua - PA,285004
1508050,Trairão - PA,327330
1508084,Tucumã - PA,984036
1508100,Tucuruí - PA,5612935
1508126,Ulianópolis - PA,1995463
1508159,Uruará - PA,774004
1508209,Vigia - PA,476447
1508308,Viseu - PA,617944
1508357,Vitória do Xingu - PA,4230225
1508407,Xinguara - PA,1604337
1600055,Serra do Navio - AP,92139
1600105,Amapá - AP,159528
1600154,Pedra Branca do Amapari - AP,453333
1600204,Calçoene - AP,186852
1600212,Cutias - AP,94992
1600238,Ferreira Gomes - AP,578737
1600253,Itaubal - AP,87878
1600279,Laranjal do Jari - AP,1134544
1600303,Macapá - AP,12938091
1600402,Mazagão - AP,374987
1600501,Oiapoque - AP,529043
1600535,Porto Grande - AP,374265
1600550,Pracuúba - AP,84579
1600600,Santana - AP,2512916
1600709,Tartarugalzinho - AP,261070
1600808,Vitória do Jari - AP,236897
1700251,Abreulândia - TO,112135
1700301,Aguiarnópolis - TO,165480
1700350,Aliança do Tocantins - TO,616571
1700400,Almas - TO,273741
1700707,Alvorada - TO,474111
1701002,Ananás - TO,159769
1701051,Angico - TO,48276
1701101,Aparecida do Rio Negro - TO,255912
1701309,Aragominas - TO,98441
1701903,Araguacema - TO,240246
1702000,Araguaçu - TO,349050
1702109,Araguaína - TO,5239050
1702158,Araguanã - TO,101858
1702208,Araguatins - TO,529290
1702307,Arapoema - TO,324523
1702406,Arraias - TO,223310
1702554,Augustinópolis - TO,305118
1702703,Aurora do Tocantins - TO,58806
1702901,Axixá do Tocantins - TO,141092
1703008,Babaçulândia - TO,158741
1703057,Bandeirantes do Tocantins - TO,178654
1703073,Barra do Ouro - TO,113260
1703107,Barrolândia - TO,122016
1703206,Bernardo Sayão - TO,102684
1703305,Bom Jesus do Tocantins - TO,139410
1703602,Brasilândia do Tocantins - TO,75634
1703701,Brejinho de Nazaré - TO,272945
1703800,Buriti do Tocantins - TO,161641
1703826,Cachoeirinha - TO,58547
1703842,Campos Lindos - TO,1004931
1703867,Cariri do Tocantins - TO,517715
1703883,Carmolândia - TO,69222
1703891,Carrasco Bonito - TO,50561
1703909,Caseara - TO,389493
1704105,Centenário - TO,64557
1704600,Chapada de Areia - TO,39824
1705102,Chapada da Natividade - TO,148973
1705508,Colinas do Tocantins - TO,862139
1705557,Combinado - TO,76524
1705607,Conceição do Tocantins - TO,67829
1706001,Couto Magalhães - TO,203473
1706100,Cristalândia - TO,177294
1706258,Crixás do Tocantins - TO,78645
